Task finished: Unit1 | Task3 | Batch15 | 9415.2
Task started: Unit3 | Task4 | Batch15 | 9415.2
Task finished: Unit3 | Task4 | Batch15 | 9567.2
Task started: Unit2 | Task5 | Batch15 | 9567.3
Task finished: Unit2 | Task5 | Batch15 | 9609.3
Task started: Unit1 | Task6 | Batch15 | 9609.4
Task finished: Unit1 | Task6 | Batch15 | 9636.4
Task started: Unit2 | Task7 | Batch15 | 9636.4
Task finished: Unit2 | Task7 | Batch15 | 9688.4
Task started: Unit3 | Task8 | Batch15 | 9688.4
Task finished: Unit3 | Task8 | Batch15 | 9785.4
Task started: Unit1 | Task9 | Batch15 | 9785.5
Task finished: Unit1 | Task9 | Batch15 | 9802.5
Batch15 done
Task started: Unit1 | Task1 | Batch16 | 9802.6
Task finished: Unit1 | Task1 | Batch16 | 9829.6
Task started: Unit2 | Task2 | Batch16 | 9829.6
Task finished: Unit2 | Task2 | Batch16 | 10006.6
Task started: Unit1 | Task3 | Batch16 | 10006.7
Task finished: Unit1 | Task3 | Batch16 | 10068.7
Task started: Unit3 | Task4 | Batch16 | 10068.7
Task finished: Unit3 | Task4 | Batch16 | 10220.7
Task started: Unit2 | Task5 | Batch16 | 10220.8
Task finished: Unit2 | Task5 | Batch16 | 10262.8
Task started: Unit1 | Task6 | Batch16 | 10262.9
Task finished: Unit1 | Task6 | Batch16 | 10289.9
Task started: Unit2 | Task7 | Batch16 | 10289.9
Task finished: Unit2 | Task7 | Batch16 | 10341.9
Task started: Unit3 | Task8 | Batch16 | 10341.9
Task finished: Unit3 | Task8 | Batch16 | 10438.9
Task started: Unit1 | Task9 | Batch16 | 10439.0
Task finished: Unit1 | Task9 | Batch16 | 10456.0
Batch16 done
Task started: Unit1 | Task1 | Batch17 | 10456.1
Task finished: Unit1 | Task1 | Batch17 | 10483.1
Task started: Unit2 | Task2 | Batch17 | 10483.1
Task finished: Unit2 | Task2 | Batch17 | 10660.1
Task started: Unit1 | Task3 | Batch17 | 10660.2
Task finished: Unit1 | Task3 | Batch17 | 10722.2
Task started: Unit3 | Task4 | Batch17 | 10722.2
Task finished: Unit3 | Task4 | Batch17 | 10874.2
Task started: Unit2 | Task5 | Batch17 | 10874.3
Task finished: Unit2 | Task5 | Batch17 | 10916.3
Task started: Unit1 | Task6 | Batch17 | 10916.4
Task finished: Unit1 | Task6 | Batch17 | 10943.4
Task started: Unit2 | Task7 | Batch17 | 10943.4
Task finished: Unit2 | Task7 | Batch17 | 10995.4
Task started: Unit3 | Task8 | Batch17 | 10995.4
Task finished: Unit3 | Task8 | Batch17 | 11092.4
Task started: Unit1 | Task9 | Batch17 | 11092.5
Task finished: Unit1 | Task9 | Batch17 | 11109.5
Batch17 done
Task started: Unit1 | Task1 | Batch18 | 11109.6
Task finished: Unit1 | Task1 | Batch18 | 11136.6
Task started: Unit2 | Task2 | Batch18 | 11136.6
Task finished: Unit2 | Task2 | Batch18 | 11313.6
Task started: Unit1 | Task3 | Batch18 | 11313.7
Task finished: Unit1 | Task3 | Batch18 | 11375.7
Task started: Unit3 | Task4 | Batch18 | 11375.7
Task finished: Unit3 | Task4 | Batch18 | 11527.7
Task started: Unit2 | Task5 | Batch18 | 11527.8
Task finished: Unit2 | Task5 | Batch18 | 11569.8
Task started: Unit1 | Task6 | Batch18 | 11569.9
Task finished: Unit1 | Task6 | Batch18 | 11596.9
Task started: Unit2 | Task7 | Batch18 | 11596.9
Task finished: Unit2 | Task7 | Batch18 | 11648.9
Task started: Unit3 | Task8 | Batch18 | 11648.9
Task finished: Unit3 | Task8 | Batch18 | 11745.9
Task started: Unit1 | Task9 | Batch18 | 11746.0
Task finished: Unit1 | Task9 | Batch18 | 11763.0
Batch18 done
Task started: Unit1 | Task1 | Batch19 | 11763.1
Task finished: Unit1 | Task1 | Batch19 | 11790.1
Task started: Unit2 | Task2 | Batch19 | 11790.1
Task finished: Unit2 | Task2 | Batch19 | 11967.1
Task started: Unit1 | Task3 | Batch19 | 11967.2
Task finished: Unit1 | Task3 | Batch19 | 12029.2
Task started: Unit3 | Task4 | Batch19 | 12029.2
Task finished: Unit3 | Task4 | Batch19 | 12181.2
Task started: Unit2 | Task5 | Batch19 | 12181.3
Task finished: Unit2 | Task5 | Batch19 | 12223.3
Task started: Unit1 | Task6 | Batch19 | 12223.4
Task finished: Unit1 | Task6 | Batch19 | 12250.4
Task started: Unit2 | Task7 | Batch19 | 12250.4
Task finished: Unit2 | Task7 | Batch19 | 12302.4
Task started: Unit3 | Task8 | Batch19 | 12302.4
Task finished: Unit3 | Task8 | Batch19 | 12399.4
Task started: Unit1 | Task9 | Batch19 | 12399.5
Task finished: Unit1 | Task9 | Batch19 | 12416.5
Batch19 done
Task started: Unit1 | Task1 | Batch20 | 12416.6
Task finished: Unit1 | Task1 | Batch20 | 12443.6
Task started: Unit2 | Task2 | Batch20 | 12443.6
Task finished: Unit2 | Task2 | Batch20 | 12620.6
Task started: Unit1 | Task3 | Batch20 | 12620.7
