Task started: Unit2 | Task7 | Batch15 | 4394.1
Task started: Unit1 | Task3 | Batch17 | 4394.2
Task finished: Unit3 | Task4 | Batch16 | 4424.1
Task finished: Unit2 | Task7 | Batch15 | 4446.1
Task started: Unit2 | Task5 | Batch16 | 4446.1
Task started: Unit3 | Task8 | Batch15 | 4446.1
Task finished: Unit1 | Task3 | Batch17 | 4456.2
Task finished: Unit2 | Task5 | Batch16 | 4488.1
Task started: Unit2 | Task2 | Batch18 | 4488.1
Task started: Unit1 | Task1 | Batch20 | 4488.2
Task finished: Unit1 | Task1 | Batch20 | 4515.2
Task started: Unit1 | Task6 | Batch16 | 4515.2
Task finished: Unit1 | Task6 | Batch16 | 4542.2
Task finished: Unit3 | Task8 | Batch15 | 4543.1
Task started: Unit3 | Task4 | Batch17 | 4543.1
Task started: Unit1 | Task9 | Batch15 | 4543.2
Task finished: Unit1 | Task9 | Batch15 | 4560.2
Batch15 done
Task finished: Unit2 | Task2 | Batch18 | 4665.1
Task started: Unit2 | Task7 | Batch16 | 4665.1
Task started: Unit1 | Task3 | Batch18 | 4665.2
Task finished: Unit3 | Task4 | Batch17 | 4695.1
Task finished: Unit2 | Task7 | Batch16 | 4717.1
Task started: Unit2 | Task5 | Batch17 | 4717.1
Task started: Unit3 | Task8 | Batch16 | 4717.1
Task finished: Unit1 | Task3 | Batch18 | 4727.2
Task finished: Unit2 | Task5 | Batch17 | 4759.1
Task started: Unit2 | Task2 | Batch19 | 4759.1
Task started: Unit1 | Task6 | Batch17 | 4759.2
Task finished: Unit1 | Task6 | Batch17 | 4786.2
Task finished: Unit3 | Task8 | Batch16 | 4814.1
Task started: Unit3 | Task4 | Batch18 | 4814.1
Task started: Unit1 | Task9 | Batch16 | 4814.2
Task finished: Unit1 | Task9 | Batch16 | 4831.2
Batch16 done
Task finished: Unit2 | Task2 | Batch19 | 4936.1
Task started: Unit2 | Task7 | Batch17 | 4936.1
Task started: Unit1 | Task3 | Batch19 | 4936.2
Task finished: Unit3 | Task4 | Batch18 | 4966.1
Task finished: Unit2 | Task7 | Batch17 | 4988.1
Task started: Unit2 | Task5 | Batch18 | 4988.1
Task started: Unit3 | Task8 | Batch17 | 4988.1
Task finished: Unit1 | Task3 | Batch19 | 4998.2
Task finished: Unit2 | Task5 | Batch18 | 5030.1
Task started: Unit2 | Task2 | Batch20 | 5030.1
Task started: Unit1 | Task6 | Batch18 | 5030.2
Task finished: Unit1 | Task6 | Batch18 | 5057.2
Task finished: Unit3 | Task8 | Batch17 | 5085.1
Task started: Unit3 | Task4 | Batch19 | 5085.1
Task started: Unit1 | Task9 | Batch17 | 5085.2
Task finished: Unit1 | Task9 | Batch17 | 5102.2
Batch17 done
Task finished: Unit2 | Task2 | Batch20 | 5207.1
Task started: Unit2 | Task7 | Batch18 | 5207.1
Task started: Unit1 | Task3 | Batch20 | 5207.2
Task finished: Unit3 | Task4 | Batch19 | 5237.1
Task finished: Unit2 | Task7 | Batch18 | 5259.1
Task started: Unit2 | Task5 | Batch19 | 5259.1
Task started: Unit3 | Task8 | Batch18 | 5259.1
Task finished: Unit1 | Task3 | Batch20 | 5269.2
Task finished: Unit2 | Task5 | Batch19 | 5301.1
Task started: Unit1 | Task6 | Batch19 | 5301.2
Task finished: Unit1 | Task6 | Batch19 | 5328.2
Task started: Unit2 | Task7 | Batch19 | 5328.2
Task finished: Unit3 | Task8 | Batch18 | 5356.1
Task started: Unit3 | Task4 | Batch20 | 5356.1
Task started: Unit1 | Task9 | Batch18 | 5356.2
Task finished: Unit1 | Task9 | Batch18 | 5373.2
Batch18 done
Task finished: Unit2 | Task7 | Batch19 | 5380.2
Task finished: Unit3 | Task4 | Batch20 | 5508.1
Task started: Unit3 | Task8 | Batch19 | 5508.1
Task started: Unit2 | Task5 | Batch20 | 5508.2
Task finished: Unit2 | Task5 | Batch20 | 5550.2
Task started: Unit1 | Task6 | Batch20 | 5550.3
Task finished: Unit1 | Task6 | Batch20 | 5577.3
Task started: Unit2 | Task7 | Batch20 | 5577.3
Task finished: Unit3 | Task8 | Batch19 | 5605.1
Task started: Unit1 | Task9 | Batch19 | 5605.2
Task finished: Unit1 | Task9 | Batch19 | 5622.2
Batch19 done
Task finished: Unit2 | Task7 | Batch20 | 5629.3
Task started: Unit3 | Task8 | Batch20 | 5629.3
Task finished: Unit3 | Task8 | Batch20 | 5726.3
Task started: Unit1 | Task9 | Batch20 | 5726.4
Task finished: Unit1 | Task9 | Batch20 | 5743.4
Batch20 done
